english,simplified,traditional,pinyin,japanese,related,frequency
obscure and unknown (idiom); an outsider without any reputation/a nobody/an unknown quantity,默默无闻,,mo4 mo4 wu2 wen2,,,1.78
"friendly manners belying hypocritical intentions/when the fox preaches, look to the geese",笑里藏刀,,xiao4 li3 cang2 dao1,,,0.029
to abandon the life of an outlaw,金盆洗手,,jin1 pen2 xi3 shou3,,,0.029
to test the waters,投石问路,,tou2 shi2 wen4 lu4,,,0.026
wholehearted loyalty/to serve sb with body and soul,赤胆忠心,,chi4 dan3 zhong1 xin1,,,0.024
throughout the ages,千秋万代,,qian1 qiu1 wan4 dai4,,,0.022
of noble character and unquestionable integrity (idiom),高风亮节,,gao1 feng1 liang4 jie2,,,0.021
front yard as busy as a marketplace (idiom)/a place with many visitors,门庭若市,,men2 ting2 ruo4 shi4,,,0.011
Undeniable kindness,盛情难却,,shèngqíngnánquè,,,0.01
"abbr. for 瓜田不納履，李下不整冠|瓜田不纳履，李下不整冠[gua1 tian2 bu4 na4 lu:3 , li3 xia4 bu4 zheng3 guan1]",瓜田李下,,gua1 tian2 li3 xia4,,,0.007
female beauty exceeding even that of the natural world,闭月羞花,,bi4 yue4 xiu1 hua1,,,0.004
female beauty captivating even the birds and beasts,沉鱼落雁,,chen2 yu2 luo4 yan4,,,0.002
neither servile nor overbearing (idiom)/neither obsequious nor supercilious,不卑不亢,,bu4 bei1 bu4 kang4,,,0.001
have no common topics/views/thoughts so cannot communicate with each other,鸡同鸭讲,,jǐtóngyājiǎng,,,
offering a treat to an unappreciative audience / to cast pearls before swine / caviar to the general / to preach to deaf ears / to talk over sb's head,对牛弹琴,對牛彈琴,duìniútánqín,,,
